time	 Flung	 Palv	 Pel	 Pmus	 Vabs	 Vti	 Vte	 Vt	 Vtmax	 PCO2	 SCO2	 VCO2	 Pao	 Fip	 Fop	 stateP	 Pcirc	 Fmax	 Fstop
0	 1.0595032335780568	 0.06580437918486748	 0.06580437918486748	 0	 1.7545339964568076	 0.00324	 0	 0.00324	 0.00324	 0	 0	 0	 0.9109673965308119	 0.18	 1.0799999999999998	 1	 undefined	 undefined	 undefined
0.003	 1.027429258814218	 0.12409334355871682	 0.12409334355871682	 0	 1.7574050546612126	 0.0061110582044050215	 0	 0.0061110582044050215	 0.0061110582044050215	 0	 0	 0	 2.3364773860347556	 0.18	 0.9570194014683404	 1	 undefined	 undefined	 undefined
0.006	 1.007677724737577	 0.18312408941629865	 0.18312408941629865	 0	 1.7603136843125269	 0.009019687855719244	 0	 0.009019687855719244	 0.009019687855719244	 0	 0	 0	 3.214323344996574	 0.18	 0.9695432171047407	 1	 undefined	 undefined	 undefined
0.009000000000000001	 0.9938845071165756	 0.24196740033426956	 0.24196740033426956	 0	 1.7632141026007184	 0.011920106143910793	 0	 0.011920106143910793	 0.011920106143910793	 0	 0	 0	 3.827355239263303	 0.18	 0.9668060960638498	 1	 undefined	 undefined	 undefined
0.012	 0.9843183844149668	 0.30072841320897226	 0.30072841320897226	 0	 1.7661114727437743	 0.014817476286966681	 0	 0.014817476286966681	 0.014817476286966681	 0	 0	 0	 4.252516248223698	 0.18	 0.9657900476852959	 1	 undefined	 undefined	 undefined
0.015	 0.9775423102843894	 0.35939579460823623	 0.35939579460823623	 0	 1.769005219434789	 0.01771122297798129	 0	 0.01771122297798129	 0.01771122297798129	 0	 0	 0	 4.553675098471581	 0.18	 0.9645822303382023	 1	 undefined	 undefined	 undefined
0.018	 0.9726301157602608	 0.4179713218702288	 0.4179713218702288	 0	 1.7718954137159137	 0.020601417259106088	 0	 0.020601417259106088	 0.020601417259106088	 0	 0	 0	 4.771994855099523	 0.18	 0.9633980937082669	 1	 undefined	 undefined	 undefined
0.020999999999999998	 0.9689607626181036	 0.47645529245068907	 0.47645529245068907	 0	 1.774782053795061	 0.023488057338253307	 0	 0.023488057338253307	 0.023488057338253307	 0	 0	 0	 4.935077216973173	 0.18	 0.9622133597157398	 1	 undefined	 undefined	 undefined
0.023999999999999997	 0.9661206266604889	 0.5348481668550118	 0.5348481668550118	 0	 1.7776651460539163	 0.026371149597108824	 0	 0.026371149597108824	 0.026371149597108824	 0	 0	 0	 5.061305481756048	 0.18	 0.9610307529518387	 1	 undefined	 undefined	 undefined
0.026999999999999996	 0.963833909906216	 0.5931503836772727	 0.5931503836772727	 0	 1.7805446959235325	 0.029250699466724865	 0	 0.029250699466724865	 0.029250699466724865	 0	 0	 0	 5.162937337501512	 0.18	 0.9598499565386804	 1	 undefined	 undefined	 undefined
0.029999999999999995	 0.9619167492070516	 0.6513623804595507	 0.6513623804595507	 0	 1.7834207089123024	 0.032126712455494845	 0	 0.032126712455494845	 0.032126712455494845	 0	 0	 0	 5.248144479686596	 0.18	 0.9586709962566597	 1	 undefined	 undefined	 undefined
0.032999999999999995	 0.9602465656174929	 0.7094845913754124	 0.7094845913754124	 0	 1.7862931904903847	 0.0349991940335772	 0	 0.0349991940335772	 0.0349991940335772	 0	 0	 0	 5.322374861444763	 0.18	 0.957493859360786	 1	 undefined	 undefined	 undefined
0.036	 0.9587416369910218	 0.7675174475226365	 0.7675174475226365	 0	 1.7891621461029326	 0.037868149646125095	 0	 0.037868149646125095	 0.037868149646125095	 0	 0	 0	 5.389260578176809	 0.18	 0.9563185375159649	 1	 undefined	 undefined	 undefined
0.039	 0.9573474789955034	 0.8254613769217327	 0.8254613769217327	 0	 1.792027581168813	 0.04073358471200568	 0	 0.04073358471200568	 0.04073358471200568	 0	 0	 0	 5.4512231557554	 0.18	 0.9551450219601947	 1	 undefined	 undefined	 undefined
0.042	 0.9560277658704928	 0.883316804547273	 0.883316804547273	 0	 1.7948895010809593	 0.0435955046241519	 0	 0.0435955046241519	 0.0435955046241519	 0	 0	 0	 5.509877072422546	 0.18	 0.953973304048739	 1	 undefined	 undefined	 undefined
0.045000000000000005	 0.95475827758951	 0.9410841523551374	 0.9410841523551374	 0	 1.797747911206536	 0.04645391474972851	 0	 0.04645391474972851	 0.04645391474972851	 0	 0	 0	 5.56629877379955	 0.18	 0.9528033751922032	 1	 undefined	 undefined	 undefined
0.04800000000000001	 0.9535228646357301	 0.9987638393098628	 0.9987638393098628	 0	 1.8006028168871246	 0.04930882043031717	 0	 0.04930882043031717	 0.04930882043031717	 0	 0	 0	 5.621206016189776	 0.18	 0.9516352268628865	 1	 undefined	 undefined	 undefined
0.05100000000000001	 0.9523107578521414	 1.0563562814116478	 1.0563562814116478	 0	 1.803454223438905	 0.052160226982097525	 0	 0.052160226982097525	 0.052160226982097525	 0	 0	 0	 5.675077428793719	 0.18	 0.9504688505934533	 1	 undefined	 undefined	 undefined
0.05400000000000001	 0.951114775008153	 1.1138618917230412	 1.1138618917230412	 0	 1.8063021361528344	 0.05500813969602695	 0	 0.05500813969602695	 0.05500813969602695	 0	 0	 0	 5.728232221859868	 0.18	 0.9493042379764745	 1	 undefined	 undefined	 undefined
0.057000000000000016	 0.7530573774362381	 1.1712810803953069	 1.1712810803953069	 0	 1.809146560294826	 0.05785256383801858	 0	 0.05785256383801858	 0.05785256383801858	 0	 0	 0	 4.795551994840814	 0.18	 0.9481413806638781	 1	 undefined	 undefined	 undefined
